riversare	[10086015]
contaminare	[10467505, 9980210, 9709951.0]
minimo	[9880087.0, 9843075.0, 9843403.0, 9611699, 9206083.0, 9407915.0, 9731013.0, 10035479, 9805261.0, 9569691.0, 9169561.0, 10160693.0, 9932579.0, 9644593.0, 10059958, 9223792, 10400251.0, 9055999, 10054129.0, 9817470.0, 9641917, 9387130.0, 10197807.0, 9293266, 9397290, 10386197, 10056407.0, 9073416, 10123541.0, 10205686, 9064940.0, 9709838, 9489391, 9770713, 9769453.0, 10351098, 9822885, 10108110, 9076783, 9925018, 10103342, 9408599, 9707163, 9318554.0, 9944799.0, 10397725, 9867627, 10263692, 9314569.0, 10351198, 9717574, 9430502, 9434197.0, 9802933, 9583358.0, 9685966.0, 10395647.0, 9796748, 9318552.0, 9660360, 9444741, 10378953, 10070071, 10246336, 9909857.0, 9644547.0, 10283682, 9844864, 9472520.0, 10161788.0, 10460747.0, 10167288, 10148299.0, 9995000.0, 9109702, 9756130, 9137887, 10431574, 9276806, 10270539.0, 10067222, 9501798, 9717929, 9098729, 9593563.0, 9706729.0, 9840959.0, 10370114, 10480402, 10162570, 9477833.0, 9563018, 9920814.0, 10087815, 9637823, 9142887, 9759535, 9756803, 9003130.0, 9423918, 9843492, 10443974, 9243282, 9108447, 10211979, 9058412, 9582894, 9064589, 10088801, 9331392, 9551151, 9165797, 9995007, 9310057, 9943599.0, 10262243.0, 10007311.0, 10207445.0, 10128095, 9369467.0, 10331374.0, 9556838.0, 9221478.0, 10313842.0, 9919259.0, 9375882.0, 9199151.0, 9586409.0, 10029281.0, 9299911.0, 10190917.0, 9274179.0, 9827606.0, 9022432.0, 10206044, 9674471.0, 10285322.0, 9635123.0, 9801567.0, 9369797.0, 9346906.0, 9304635, 9503664, 10433265.0, 10366151.0, 9753495, 10357893, 9408242, 9240048.0, 9601443.0, 9168855.0, 9562966.0, 9187662.0, 9100677.0, 9115094, 10332924.0, 9718428, 10268827, 9541559.0, 9098579, 9683901.0, 9947066, 9068090]
nervosismo	[10002313, 9628078, 9488767.0]
agitare	[9169275.0, 9794113, 9120243, 10187421.0, 9427535, 9876990, 9684025, 10423622, 9580450, 10393365.0, 9981879.0, 9580379, 10172695.0, 10417909.0, 10015595, 10023453, 10330175, 10333982.0]
delicato	[9393627.0, 9393628.0, 10032503.0, 9692121, 9051320, 10458362, 9297737.0, 9964645, 9056627.0, 9320002, 10404970, 9827184, 10475611, 9029280, 10189766, 9673327.0, 9541934, 9915943.0, 9021247.0, 9396817, 9274108, 9273080, 9297200, 9156944.0, 9889483.0, 9458240.0, 9494820, 9068378, 10427495, 9304781, 9757423.0, 9058056, 9313038, 9037958, 9297218, 9138446, 10255797.0, 9703603.0, 10143185.0, 9976162, 9278099.0, 9464293.0, 9644854, 9701031, 10433414.0]
destrezza	[9430482.0, 9246095, 10111611.0, 9038766, 10389088]
salutare	[9536251, 10101298, 9861890, 9137197.0, 9043593, 9521127, 9404969, 10204144, 10102365, 9467006, 9191295, 10204147, 9347099.0, 9618586, 10029320, 9313935, 9338272, 9546911, 9576970.0, 10104148, 10436801, 9313633, 9687965.0, 9236983.0, 9641614, 9688244.0, 9721104, 10410623, 10104603, 9533409, 9268280, 9686485, 9538154, 9201561, 10253993, 10166629, 9111798, 9868147, 9180689, 9842422, 9028611, 10008354, 9807619, 10492571.0, 9528956.0, 9397553.0, 9290829.0, 9399149, 9410225.0, 9376833.0, 9831465.0, 9510401, 10268026.0, 9535685.0, 9832072.0, 10244363.0, 10419198.0, 9225836, 9382150, 9820725.0, 9984274, 9873684, 9418341, 9738890, 10451585, 9332166, 9743516, 10232940, 9809690.0, 9454237.0, 10239708, 9320757.0, 9320829.0, 9995589.0, 9469989, 9181965, 9634969, 9181838]
rotella	[10057189.0, 10113658, 10249317, 10333067, 9846279, 9315140, 9314838, 10210381, 10257030, 9587499, 9997227, 9290780, 10006165, 9966418]
fondale	[9260571.0, 9972921, 10177820, 10356627.0, 10081504.0, 10312917]
trappola	[9146935, 9246818, 9728486, 9364691, 9231035.0, 10387213.0, 9300405, 9248202, 9162702, 10303208, 9451683, 9693009.0, 9507224.0, 10313126.0, 10431638.0, 10188140, 10242451.0, 9922465.0, 9572052.0, 9817890, 9700739.0, 10375393, 9750844, 9893107.0, 10271143, 9851387.0, 9107758.0, 10440445.0, 9551017.0, 9549431, 9521620.0, 9468222.0, 10404274, 9171429, 10188053, 10036164, 10430490.0, 9530787, 9366789, 10271151.0, 9058519, 10482241, 9431071, 9248062, 10440562, 10275265.0, 9571941.0, 9422590.0, 9845306.0, 9621084, 9101019.0, 9568302.0, 10160614, 9941412.0, 10341391, 9644506, 9228245, 10443511, 9255798, 9503588, 9451702, 10431698, 9472692, 9465995, 9839678, 9728490, 10140259, 10219331, 10490933, 10285734, 9414517, 10158191, 10431324, 10461899, 10320582, 9703660, 9572282, 10104988.0, 10419667.0, 9792549.0, 9860277.0, 10299515.0, 9650529.0, 9267588.0, 9227962.0, 9564266.0, 9501547.0, 9347624, 10281430, 9753245, 10325401, 9733566.0, 9058014.0, 10301422.0, 9539247.0, 9488707, 9066144, 9081236, 9922541, 10188039, 9136244, 9073624, 10496587.0, 9768114.0, 9521346, 10000781, 10092522, 9421167, 9990248.0, 9731700, 9530788, 10195479.0, 10400937, 9918368, 9175376, 9065497, 10385444, 10128190, 9065498, 10079220]
posare	[9206321.0, 9165482, 9751199.0, 10080272, 9206276.0, 10040095.0, 10077268, 9415286.0, 9490417.0, 9607313, 9361905, 9594163, 9425349.0]
direttamente	[9628059.0, 9469187, 10057133, 9043424, 10057188.0, 9117760, 10344933, 10060805, 9728472, 9639981.0, 9800250.0, 9605121.0, 10472523, 9710673.0, 9073478.0, 9647449, 9901090.0, 9938726.0, 9619806, 10038466.0, 9470549, 9934670.0, 10015449, 9177704.0, 9457171, 10002616, 10238638.0, 10057177.0, 10034529, 10338988, 10224497, 10035561, 9026280, 9829117.0, 9061794.0, 9664133.0, 10099846, 9951773.0, 10176693, 9627467, 9101701, 9334678, 10061392.0, 10118186, 9353747, 9470196.0, 9705949.0, 9695657, 9647373, 10029177, 9697543.0, 9351763, 9501383.0, 10153483.0, 9922480, 10381176.0, 10313412.0, 9813631, 9328077, 10176490, 9008347, 9305413.0, 9505143, 9904011, 9957973.0, 9073097, 9880206, 9521532.0, 9397257.0, 9192136, 9132678, 10260868, 10337473, 9670039, 9493959, 10158181, 9286642, 9665076.0, 10392697, 9919680.0, 10079810, 9600044, 9235408, 9798445.0, 9728021.0, 9969152, 10312669, 9691353, 9777785, 10384446.0, 9244687.0, 9025931, 10268132, 9679275, 10344619, 9677331, 9935461, 9900085, 9277831, 10201157, 9785112, 10004327, 9831739, 9291811, 9248663.0, 9568763, 9798239, 10243129.0, 10453495.0, 9594849.0, 9899759.0, 10117556.0, 9048747.0, 10079623.0, 9104344.0, 10431095.0, 10164404.0, 10014725.0, 9969621, 9156655.0, 9826053.0, 9185227, 10401597.0, 9324474.0, 9968732.0, 10385198, 9249598, 9114447, 10034641.0, 9772159.0, 9293773.0, 9307523, 9223578.0, 10447940.0, 9950253.0, 9038899, 10443483, 10441664.0, 9602477.0, 10432856.0, 9429631, 9272530, 9451024, 9883032, 10417594]
gentilezza	[9169735, 9355056, 9890924.0, 9089804, 9924869.0, 9660430.0, 9890611, 9446799, 9168913, 9177757, 9604464.0, 9528811.0, 9800014.0, 10259716.0, 9043470.0, 9291524, 9611362.0, 10262323, 9073187, 9511278, 9791944, 9155791, 10109796, 9326360, 9816998.0, 9082621, 9375392, 10092308, 9044030, 9496376, 9241444, 9155192, 9106001, 9136328, 9111129.0, 9286440.0, 10170287.0, 10373093.0, 9216130, 9185597, 9331373, 9438591, 9438441.0, 9289735.0, 9737802.0, 10001281.0, 9216126.0, 9200297, 10109784, 9214197, 9628980, 9528868]
riordinare	[9965375, 9861587.0, 10466655, 10403788, 9201434.0, 9789684]
testardo	[9072945.0, 10424207.0, 10065108.0, 10435577, 10303757.0, 9439923.0, 10105924, 9218386.0, 9216881.0, 10146666, 9428836.0, 9220304, 10213772, 9348811.0, 9896720.0, 9624107.0, 9510316, 9310994, 9268036.0, 9977314, 9126178, 9280804.0, 10359734.0, 9098687.0, 10434904.0, 10423657.0, 9658231.0, 9905656.0, 9766373.0, 10380406, 9133978.0, 10246361, 10249885, 10437527, 9973120.0, 10090268.0, 10240037.0, 9556185.0]
vietato	[10009705.0, 10466658, 9011551.0, 10312734.0, 9983749, 10303805.0, 9123761, 10400054.0, 9353434, 9706814.0, 10083387, 9491379.0, 9706822.0, 9011550.0, 10478338, 9878644, 9728644, 9310886, 10237295.0, 9923837, 9012250, 9244311.0, 9020232, 9103140.0, 10329589, 9579857, 9470376, 10418437, 9208017, 9072715, 9210071, 9697106, 9510496, 9142659, 10358285.0, 9510495, 10164601, 9124171, 9776134.0, 9705498, 9201704, 9540695, 10068731, 10141284, 10487896, 9401987.0, 9706693, 10242456, 9460368]
intuire	[10170903.0, 10375952.0, 9317884, 9656358, 9187297, 9389489.0]
esperto	[10032459.0, 9260946.0, 10050979.0, 9939896.0, 10303739.0, 10378150.0, 10261471.0, 10093397.0, 9285331.0, 10477756.0, 9234295, 9953472.0, 10059618, 9555374.0, 9718362.0, 9613713.0, 9091971.0, 10312357, 9246471.0, 10028915, 10199331, 9133575.0, 9006039.0, 9325764.0, 9096541, 9815666.0, 10330015, 10034624.0, 9019305.0, 10048793.0, 10140087.0, 9549633.0, 9717596, 9218434.0, 9083123.0, 9583581, 9668067, 9812427, 9256659.0, 10119489.0, 9843105, 9409473, 10051487.0, 9276762, 10190985, 9085655.0, 9853718, 9232870.0, 9865529, 9675858, 9266305, 10370594, 9209482.0, 9103712, 10228537, 9015004, 9570679, 10345858.0, 9165055, 9897973, 9969357, 10267756, 9344254, 9335420.0, 9852528, 9133944, 9591852, 9527786, 9317686, 9848983, 9708511, 10032920.0, 10033459.0, 9306873.0, 9962004.0, 9962000.0, 9675649.0, 10054518, 10118965, 9064080, 9502924.0, 9346864.0, 9060401.0, 9438492.0, 9133945.0, 10479812.0, 9798683.0, 9591616, 9347531, 9969356.0, 9591608, 10465176.0, 9962147.0, 9598443, 9765386.0, 10277409]
cinese	[10127991.0, 10344988.0, 10243895.0, 10257570, 9739067.0, 9865910.0, 10217060.0, 9911406, 9967957, 10170888.0, 10423291.0, 9851198, 10453166, 9002489.0, 10325424, 9126974, 9436979.0, 9255936.0, 9002114, 9856412, 10302111, 10294856, 10057043.0, 10325428.0, 10298695.0, 10260855.0, 9035803.0, 9264513.0, 9200193.0, 9265035.0, 9818439, 9344420, 10015644, 10128780, 9344264.0, 10128390, 10128395, 9911252.0, 9466967, 9102850, 9967964, 10260319.0, 9876377, 10260866, 9501663, 9662843, 10260394, 10034646, 10139591, 9430232, 10059205.0, 9638539.0, 10257225.0, 10275034.0, 9447400.0, 10478590.0, 9911717.0, 9264645.0, 9636238.0, 9421291.0, 9580480, 9866259.0, 9264660, 9436981.0, 9085429, 9875759, 10269651, 9344418, 10260182.0, 10260665, 9264243, 10415840, 9200078, 9565827.0, 9344427, 9256553, 10260606, 10409448, 9851126, 9085483, 9085428, 10490429, 10060826.0, 9314264.0, 9949869, 9550895, 9447401.0, 9911497, 9967936.0, 9264244, 10261282, 9321522, 10271441.0, 9343911, 9112403.0, 9919188.0, 9436478.0, 10325429.0, 10351347.0, 9436461.0, 10381269.0, 10182829, 10295187, 9727366, 9255803, 9343761]
eccezionale	[10233953.0, 10384384, 9798548.0, 10331670, 9299643.0, 9075331, 10349081, 10439374.0, 10112998, 9057582, 9285765, 9138007.0, 10401242, 9077219, 9396688, 10338520.0, 9364298, 9138041.0, 9247433.0, 10177057, 9644411, 9252128, 9062059, 9185928, 9972724.0, 9648669, 10015336, 10138178, 9791064, 10455235, 9092388, 10210743, 9665705, 10349383.0, 10480745, 10017817.0, 9671662.0, 9563018, 10439487, 9700958, 9992794, 10119260, 9251540, 10128305, 10346230, 9020965, 9963311.0, 9757217.0, 9792656.0, 9980585.0, 10250777.0, 9272567.0, 10061404, 9018468, 9522943.0, 9342224.0, 10449743.0, 10179418.0, 9331641.0, 9251569, 10284001.0, 9887848.0, 9671855, 9178724.0, 9416319, 10104997.0, 9358772, 9352048.0, 9148824, 9804351, 9465896.0, 9486842.0, 10053907, 9044976, 9410167.0, 9620314.0, 9352802.0, 10018547.0, 10053393, 10089024, 9947264, 9757538, 9354707.0, 10386215.0, 9612352, 9620316]
interessato	[9169153, 9998063.0, 9069228, 10032591.0, 9771516, 9890690, 9933955, 9907884, 10187243, 10323954.0, 9385219.0, 9919821, 9962915, 10105928.0, 9148601, 10007632.0, 10116945.0, 9889411, 9646749.0, 9586378, 9876032.0, 9640711.0, 9326964.0, 10491015.0, 9128913.0, 9173813, 9530437, 10470198, 9740086, 9157479, 10192314, 9105671.0, 9612439, 9802694, 9989078.0, 9330678.0, 9935904.0, 9220403.0, 9998748, 9335959.0, 10000696.0, 9407937.0, 9187671.0, 9079311.0, 9220919.0, 9529657, 9485494, 10453289.0, 9034195.0, 9896357.0, 9875346.0, 9168968.0, 9824949.0, 9919433.0, 10435053, 10182367, 10324524.0, 9121778, 10399637, 9237234, 9612088, 10086104, 9682862, 9969146.0, 9536284, 9002443.0, 9649903.0, 9121905, 10035618.0, 9341294, 10144986, 9138484, 9184919, 10176935, 9626418, 9928179, 9835909.0, 9493449, 9145082.0, 10017691.0, 9611112, 9964031, 10121768.0, 9608537.0, 9690112, 9832046, 9405034, 10319274, 9182938, 10043330, 9177454.0, 9611567, 9202758.0, 9179218.0, 9343636.0, 9928384.0, 9967097.0, 9259124.0, 9640362.0, 9141167.0, 10395340.0, 9621473.0, 9458927.0, 9429204.0, 9202075.0, 9316192.0, 9639621.0, 9761643.0, 9063856.0, 9627896.0, 9276731.0]
abile	[9792895, 10375760, 9427731, 10078887.0, 9116252.0, 9221069.0, 9656186.0, 9121822.0, 9051070.0, 10409238.0, 9768244, 9468213.0, 9325764.0, 10113106, 10162277, 10320968, 9534114, 9439115, 9440618.0, 9310987.0, 10102122, 10092153, 9438739, 9104620, 10376325, 9367952, 9480213, 9077181.0, 9146480, 9605972, 9325771, 9413868.0, 9820279]
acquifero	[]
raggio	[9924214, 9640450.0, 9549653.0, 10059744, 10089150.0, 10060129, 10129078.0, 9855424.0, 9091379.0, 10067357.0, 10057728, 9603587.0, 10057640.0, 10318896.0, 9747075, 9022074.0, 10406584.0, 9750494.0, 9637750.0, 10373715.0, 9656523.0, 10431047.0, 10488597.0, 10211012.0, 10109957.0, 9389352, 9597681, 10431728, 9357461.0, 10436634.0, 10434418.0, 9971071, 9935074.0, 10318892.0, 9197538, 10210420.0, 9357536, 9477661, 10143924.0, 10258867, 9872613.0, 9163180, 10406149.0, 10058688.0, 9327881.0, 9929237.0, 10440789, 10437607.0, 10430940.0, 10435928, 10083487.0, 10434375.0, 9535813.0, 10061237.0, 9524026, 9859345.0, 10129179.0, 9233132.0, 10322230.0, 9917985.0, 10009777.0, 10440790.0, 9935072, 10373210.0, 10435100.0, 10375963, 10367931.0, 10435085.0, 10036161.0, 10174864.0, 10306194.0, 10175434.0, 9357439.0, 10128651.0, 10009427.0, 9173660.0, 9521534.0, 9799265.0, 10069855.0, 10372454.0, 10083490.0, 10436629.0, 10318916.0, 9437502, 9484133.0, 9935053.0, 9437501, 10441628, 10371292.0, 9621429, 10168827.0, 10321978.0, 9549757.0, 10442419.0, 10453080.0, 10378373.0, 10322102.0, 10442665.0, 9642835.0, 9843759.0, 9709831.0, 9022619.0, 10318965.0, 9134960, 10036158.0, 9815733, 9909250, 10437657.0, 9821436, 10375326, 10341813.0, 10435103, 9521548, 9935377, 10318867, 10032154.0, 9649294, 9534505, 9416086, 10377329, 10488751.0, 9572741, 10357689, 10359677.0, 9994945, 10367879.0, 9285304.0, 10321139.0, 10434158.0, 10175493.0, 9935021.0, 9440780.0, 10441329.0, 10272017.0, 9815731.0, 10436644.0, 10035305.0, 10437782.0, 10320981.0, 10322107.0, 10442409.0, 9138220.0, 9524023, 10175473.0, 10032139.0, 10318879.0, 9550262, 10318094.0, 9732507, 10217180, 9157087, 10441653]
merluzzo	[10329187.0, 9494936, 9680001.0, 9138392.0, 10125669]
colloquio	[10421157, 9939335.0, 9565959, 9412365.0, 10113865, 10421158, 9433264, 9939269.0, 10495865.0, 9106364, 9130909, 9351393.0, 10067350.0, 9662180.0, 9565936, 10150476, 10017656, 9564222, 9565903.0, 9052192, 10038104.0, 10248975, 9564087, 9069395.0, 10407303, 10309634, 9433892, 10438734, 9065734, 9490382, 10047957, 9351471.0, 10084908, 9106292, 9564123, 9452184, 9696042.0, 10406205.0, 10491830.0, 10406227.0, 9621484.0, 10086586, 10030538, 10149692.0, 10438720]
arrivato	[9413321.0, 9780616.0, 9387112.0, 9115250, 10049525, 9521226, 10259848.0, 10371404.0, 10446271, 9642338, 9495498, 9971951, 9343714, 9253771, 9432124, 9584486, 9917126, 10115014.0, 9446717, 9101489, 10174933.0, 9782136.0, 10445602, 9313306, 10326607, 10111576, 10492023, 9591778, 9452122.0, 9474894.0, 9073800, 10313783.0, 9112937, 9573881, 9638171, 10347190, 9174300, 9785977, 10000040, 10045640, 9444254, 9261582, 9150353, 10362875.0, 9620637.0, 10311634, 9653640, 9251541.0, 10166566, 10002005, 9703632, 9641642, 9826558, 9499518, 9641299, 10387866, 9728568, 9543606, 10036284, 10315053, 10324362, 9590148, 9876566, 9876901, 9447481, 10385769, 9866543, 9104178, 10360359.0, 9343232, 9669177, 9186903, 9432192.0, 9436555, 9429626, 9660151.0, 10331986.0, 9686192.0, 9031107, 10323749, 9584505, 9500204, 9226602, 9706120.0, 9641839, 9888988, 9633184, 10026826, 9114814, 9147986, 9006332, 9029764, 10379293, 9446161, 10225170, 9225626, 9914802, 10246479, 9348012.0, 9186907, 9714705, 9044493.0, 10471419, 9139045.0, 9464905.0, 9310444, 9791945, 10414559.0, 10080559, 9785969, 9144751, 10195027, 10000969, 10110920, 10419662, 10164161, 9898222, 9844458, 9071959, 9265866, 9111882, 9951648, 9155363, 9727193, 9302117, 9650378, 10126669, 9998473, 9504528.0, 9220609, 10336050, 9683399, 9563629, 9698702, 9102625, 10241869, 10201657, 9587530, 9081107, 9195622, 10234953, 10088251.0, 9511536.0, 9111377, 9727164.0, 9903320.0, 9175805, 9890713.0, 9865470, 9695677.0, 9989911.0, 9302347.0, 9478354.0, 9471008.0, 9910651, 10184667, 9688425.0, 9046472.0, 9701533, 10060257, 10305037, 10285708.0, 9406422, 9687519, 9425016, 9042777.0, 9222868, 9555097, 10131590.0, 9972586, 9862496, 9796650, 9510703.0, 9309062, 9461653, 9839824, 9716243, 9164610.0, 10092643.0, 9672561, 9806412, 9311516, 10187510.0, 9384048, 9266392, 10001534.0, 9533399, 9921529, 10323972, 9612479, 9230880, 9186412, 9138000, 9267609.0, 9584430, 9568301, 9667508, 9120053, 9761995.0, 9359506.0, 9133783, 10401463, 9908060, 9434175.0, 9365728.0, 9121967, 9784129, 10041835, 9532429, 9637724, 9862495, 9444769, 10176087, 9792829, 10055350, 9089210, 9533427, 9643109, 10406928, 10026379, 9283329.0, 10209668, 9357566, 9699920.0, 9074024, 9530715, 9384243, 9642060, 9469437, 10094683, 9071535, 10262205, 9991315, 10246105.0, 10017480, 9349144.0, 9385304.0, 9095641.0, 9522830.0, 9155679.0, 9199749, 9004367.0, 9679275, 9671830, 10011844, 9107383.0, 10221183.0, 9809431, 9638002.0, 9164422, 9720011, 9606022, 9811558, 9270252.0, 9752411, 9594364.0, 9351554, 9112674.0, 9311520, 9266999, 10336207.0, 9256066.0, 9652700, 10498893, 10167818, 9803518.0, 10462387, 9133118.0, 9705973.0, 9112800, 9780430, 10142622.0, 9243250.0, 9679522, 9557111, 9494876, 9698001, 9125197, 9232614, 10328394, 9688369, 9194067, 9693229, 9006532, 10246823, 9474535.0, 9123824, 9070660, 10366218, 9058837, 9123461.0, 9504372, 9583236.0, 9406390, 9738248.0, 9127765, 10045642, 9206143, 9187660, 10365519, 9121968, 10419208, 9834840, 10430760, 10054202, 10240073, 9120484, 9781615, 9465580.0, 9104596.0, 9365475, 10203968, 9186806.0, 9306729, 10090710, 10127208, 9699186, 9944986, 9743835, 10225450, 9347740, 10056490, 9701244, 9608747, 9054413, 9576124, 9499403, 10466897, 10005038, 9031799, 9589742, 9695288, 9698949, 9526637, 9654899, 10021735.0, 9105017, 10323033, 9953134.0, 9079304, 9041488, 10465493, 10282460, 9322543, 9710957, 9830401, 9613750, 9158832, 9306728, 9421038, 10323282, 9980843, 10421164, 9329802, 9276189, 9228757, 9682401, 10131976, 10304106, 9414778, 9089995.0, 10154024, 9974837, 9262568, 9138068, 9996650, 9492341, 9677194, 9232535, 9471695, 9045669, 9342579, 9112236, 9687903, 10021929, 10351167, 9097937, 10152702, 9568968, 9402178, 10084601, 9910863, 9659749, 10404179, 9434187, 9785947, 9291966, 9512037, 9846378.0, 9046553, 9996490, 9577414, 10490562, 10340031.0, 9278556, 9920159.0, 10176980, 9133766, 9403625.0, 9217383, 9469651.0, 9473941.0, 10485656, 10379203, 10391335, 9408458, 10180763, 9717427, 9603075.0, 10267283, 10207801, 9502496, 10073623, 9547258, 9649105.0, 10239152, 9862387, 10379224.0, 9680020, 9290525, 9996062, 10402447.0, 9589315.0, 9924610, 9085989, 10351820, 10160218, 10411200.0, 9277830, 9147767.0, 10381801, 10352144, 9199449, 9286119, 10204495, 9006333, 9816921, 9887818, 9992881, 9937785, 9942354, 10328487, 9307792, 9451450, 9671369, 9198080, 9122344, 9108485, 9687693, 9817293, 9161887, 9613443, 9662970, 10153637, 9580508, 9421303, 10451157, 10304768, 10365503, 9658984, 9659207, 9389514, 10048355, 9365093, 9832189, 9952446, 10055344, 9324249, 9449941, 9223166, 9265793, 9891573, 10419392, 9773379, 9798322, 10416506, 9384143, 9585259, 10150816, 10472188, 9275694, 9572690, 10317560, 9421790, 9864350, 9304492, 10158001, 10145306, 9143133, 10132388, 10196968, 10111535, 9938824, 9150804, 9402617, 9026004, 10478100, 9992037, 9194860, 10282451, 9446635, 9534019, 10207993, 10293258, 9583746, 9346531, 9837420, 10436318, 10102181, 10473523, 9322606, 9139235, 9649838, 9580061, 9185792, 9079527, 9872912, 9640244, 9223579, 10480931, 9275616, 9466459, 9430149, 9155700, 9089489, 10309508, 9654602, 9135082, 9703683, 9154943, 9288039, 9538750, 9074023, 10412870, 9905883, 10126981, 9208218, 9420666, 9329990, 9693071, 9845234, 9352253, 9190614, 9315263, 10084632, 9472949, 10487489, 10316967, 9232610, 9095214, 9306890, 9367234, 9799070, 10285073, 9523829, 9430151, 10187015, 9803672, 10432363, 10125344, 9344522, 9450086, 9451821, 9050801, 9156198, 9465678, 9098541, 9464682, 9450858, 9484963, 9189252, 10226101, 10470118.0, 9540465, 10193757, 9040418, 10298105, 9463714, 9620923, 10127270, 9888606, 9137551, 9167556, 9652639, 10284016, 9202331, 9069618, 9241359, 9270678, 9428197, 10372939, 10300574, 9537956, 9691762, 9563602.0, 10451584.0, 9183449.0, 9879523.0, 9812808.0, 9209584.0, 9060428, 9087527, 9113169, 9673299, 10270105, 10284009, 10284198, 10448099, 10496522, 10481352.0, 9089061.0, 9813804.0, 9730064.0, 9527843.0, 9856174.0, 9039924, 10395784.0, 9235532.0, 10376752, 9571802.0, 10085309.0, 9329818.0, 9536670.0, 9378164, 9504830.0, 9504837.0, 9622504.0, 9144401, 9575403.0, 9930310, 10250741.0, 9176049.0, 10281882, 10483020, 9238414, 9551621.0, 10432533.0, 9334140.0, 9566709, 9422524.0, 9591558, 9050755, 9246488, 10030459.0, 10196593.0, 10430826, 9360688, 9354062, 9547804, 10390976, 9100480, 9125892, 9486112, 10148909, 10317813, 9738803, 9862140, 9195462, 9977751, 10249427.0, 9325291, 9149233, 9373472, 9223583.0, 9892542.0, 9983509, 9069945, 10431755, 10285510, 9436899.0, 9006330.0, 9499904.0, 10215256.0, 10370079.0, 9422001, 10208751, 10246032, 9479499.0, 9533458.0, 10224723.0, 9113063, 10005610, 9704370, 9996536, 10087281, 10294559, 9441920, 9104322, 9945928, 9013489, 9946527, 9530946, 9325276, 9325310, 9563952, 9681804, 9721696, 10013422, 10137961, 10474215, 9464513, 9599259, 9757396, 9843704, 10045648, 9428815, 9504085, 9937960, 9059855, 9761796, 9504839, 9212600, 10317623, 9175160, 10093273, 10294792, 10132385, 9053354, 9086993, 9103418, 9128274, 9173804, 9234989, 9388753, 9439328, 9533391, 9635048, 9754116, 10026545, 10068307, 10078138, 10123287, 10184794, 10226117, 10332141, 10448101, 10487484, 9268883, 9207976, 9620422, 9956533, 10008112, 10367420, 10417702, 9754091, 9829000, 10040113.0, 9117587, 9217578, 10232871, 9929491, 10281572, 9943225, 9186757, 9440866, 10042003, 9475653, 9137517, 9234542, 9430153, 9728789, 9059916, 9786470, 10441764, 10446667, 10411138, 9304597, 10316087, 9298303, 9768581, 10246676, 9191539, 9219449, 9257425, 9423288, 9467012, 9101134, 9659604, 9137547, 9141558, 9463272, 9524122, 9642497, 9660184, 9706519, 9712123, 9896575, 10027649, 10078169, 10090527, 10132284, 10196176, 9099043, 9439982, 9899424, 9953753, 9630757, 10055154, 9311063, 10490560, 9868432.0, 9090354, 9176599, 9323692, 9083918, 9323433, 9034755, 9475054]
apatia	[9558304, 9633433, 10386493.0, 9932304.0]
atleta	[9999754.0, 9396643.0, 9187790, 9130743.0, 10251375, 9334826, 10066714.0, 9697844.0, 9217277, 10073087.0, 9697845.0, 10073298, 9945272, 10157505, 10251707, 10073271, 10073670.0, 9595508.0, 10073169, 9401821.0]
sugo	[10087919, 10088138.0, 10337121, 10406893, 9890462, 10284215.0, 10462971, 9846068.0, 10203476.0, 10459374.0, 9629777, 10462975.0]
trasformare	[10407427.0, 9046252.0, 9821524.0, 9703276, 9203253.0, 10382347, 9298863.0, 9884252, 9176856.0, 9613518.0, 10057327.0, 9347051.0, 10258259, 10033231.0, 9394042, 10433163, 10242587.0, 9186086, 9493802, 10212545.0, 10104805.0, 9367062, 9726192, 10077380.0, 10012246, 10416632, 10276889, 9665244.0, 10025107, 9953419.0, 10239164, 9030835, 9355834, 10465482.0, 9976280, 10483634.0, 10007315.0, 10121883.0, 9993967, 9179302, 9355682]
vicinanza	[9166429, 9700837, 10017605, 10017569, 10381982.0, 9507969.0, 9668065]
elemento	[9099021, 10059726.0, 10059756, 10060218.0, 10057755, 10059755.0, 9239472.0, 9804112.0, 10320872.0, 9671839.0, 10061131.0, 9504157.0, 9069108, 10048294.0, 9264120, 9159337, 10086303, 10136510.0, 10059714, 10432574.0, 10093817, 9069511.0, 10177667, 9127247.0, 9657503, 9740774, 9176663.0, 9175828, 10399661.0, 9357645]
storiella	[9135582, 9115147.0, 10162047.0, 9150445.0, 9127171, 9804843, 9267844, 9316733, 9022400, 9914143, 10162048.0, 9029162.0, 9200826.0, 9379012, 9652958, 9114296, 9176356]
dettagliato	[10420964.0, 10345148.0, 9235162, 10375187.0, 9784451.0, 9378614, 9127880, 9358572, 10414819.0]
acquisire	[10434552.0, 10371296, 9717921, 9761043.0, 9452327, 9790044.0, 10318352, 9274822.0, 9866151, 9900343]
dedicare	[10404964, 10055432, 10084535, 10161358, 9951601.0, 9907211, 9138978]
reintrodurre	[]
casuale	[10056882.0, 10216658, 9852250, 10057093, 9081546.0, 10056703.0, 10435565.0, 10010724, 10060863.0, 9421580, 9201546, 10143944.0, 9751034, 9571198, 9872337.0]
cercatore	[9859691.0, 9003987.0, 10333182.0, 9079335, 9003989, 10333363, 10333311.0, 10333343.0, 10333699.0, 10246815]
ritrovamento	[10244155, 10244393.0, 9006047.0, 10244229, 10098450.0, 10370772.0, 10223176, 9598300.0]
