LEMMA	POS	SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		SENT_ID	N/A	N/A		POLYSEMY	ENOUGH_CONTEXT_SENTENCES?
scoprire	VER	852947	Ha dichiarato di aver scoperto una nuova cometa.	Er verkündete die Entdeckung eines neuen Kometen.		928141	Abbiamo scoperto dove vive.	Wir haben herausgefunden, wo er wohnt.		429424	Chi ha scoperto l'America?	Wer hat Amerika entdeckt?			X
invio	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
informatico	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
informatico	ADJ	10089929	Durante il mio secondo giro mia moglie scappò con un programmatore informatico.	Nach meiner zweiten Dienstzeit lief meine Frau mit einem Computerspezialisten weg. Ich habe 2 Töchter.		10216207	Ci sono dei posti nel settore informatico.	Computerjobs.		3272231	Sto cercando di risolvere dei problemi informatici.	Ich probiere gerade, Informatik-Probleme zu lösen.			X
proporre	VER	412799	Lo proporrò come dirigente, che ti piaccia o no.	Ich werde ihn als Vorsitzenden vorschlagen, ob es dir gefällt oder nicht.		1870191	Un partecipante propose di passare ad un altro argomento.	Ein Teilnehmer schlug vor, wir sollten zu einem anderen Thema übergehen.		10041310	Ascolta, voglio proporre un brindisi.	Hört mal, ich will einen Toast aussprechen.			X
esagerare	VER	10382664	Vi avevo detto di divertirvi ma senza esagerare.	Amüsiert euch, und führt euch gut auf.		9681792	No, Edgar, non esagerare con le tue premure.	Nur keine Umstände meinetwegen.		9759514	Tendi sempre ad esagerare, Andrew.	Du neigst dazu, übertrieben zu reagieren, Andrew.			X
sostenere	VER	1763786	Ci sono molte buone ragioni per sostenere questo progetto.	Es gibt viele gute Gründe, dieses Vorhaben zu unterstützen.		3391616	Loro si incoraggiano e si sostengono a vicenda.	Sie ermutigen und unterstützen einander.		3391624	Loro si incoraggiano e si sostengono l'un l'altro.	Sie ermutigen und unterstützen einander.			X
gratuitamente	ADV	4075159	Non mi interessa lavorare gratuitamente.	Arbeiten ohne Bezahlung interessiert mich nicht.		9039524	Anche un certo Winslow si è offerto di assistermi gratuitamente.	Ein Mann namens Winslow wollte sich auch kostenlos um mein Geld kümmern.		9510357	Ogni giorno li visitiamo e diamo loro le medicine gratuitamente.	Nachmittags werden sie hier kostenlos behandelt.			X
tipico	ADJ	10048212	È tipico per te creare dei problemi quando cerco di realizzare qualcosa quando finalmente ho voglia di lavorare!	Das ist wieder so verflucht typisch von dir! Endlich hab´ ich mal ´ne Chance, und du vermasselst sie mir! Mir macht das Arbeiten hier Spaß!		10173627	Un tipico inverno russo.	Typischer russischer Winter.		9480788	Un ragionamento tipico da donna.	Stimmt, du bist eine Frau.			X
speranza	NOM	966474	La speranza di Tom era di vincere il primo premio.	Toms Hoffnung war es, den ersten Preis zu gewinnen.		632989	È un caso senza speranza.	Er ist ein hoffnungsloser Fall.		429388	Non perde mai la speranza.	Er verliert nie die Hoffnung.			X
valle	NOM	10037940	I fiumi come sempre scorreranno verso valle.	Die Flüsse fließen auch weiter bergab.			N/A	N/A			N/A	N/A			
dipendenza	NOM	3044958	Dobbiamo aiutare coloro che cercano di lottare contro una dipendenza.	Wir müssen denen helfen, die versuchen, gegen eine Abhängigkeit zu kämpfen.		10373562	Nessuno Vuole diventare drogato. La dipendenza arriva dopo.	Niemand will abhängig werden, das geschieht einfach.		10304997	Il risultato è una civiltà costruita sulla forza, potere, la paura, la dipendenza.	Das Resultat ist eine Zivilisation, die auf Macht beruht, auf Angst.			X
dato		393854	Abbiamo nuovi dati sulla produzione e sulla vendita di schiacciamosche elettrici nel mondo.	Wir haben neue Daten über Produktion und Verkauf von elektrischen Fliegenklatschen weltweit.			N/A	N/A			N/A	N/A			
occupare	VER	3710929	Lui non si occupa molto bene dei suoi figli.	Er kümmert sich nicht besonders gut um seine Kinder.		1751834	Quand'è l'ultima volta che ti sei occupato del bucato?	Wann hast du dich das letzte Mal um den Abwasch gekümmert?		10488051	Shinkai, abbiamo qualcuno che si possa occupare di lui?	Shinkai gibt es jemanden, der sich um ihn kümmern kann?		si occupa dei diritti delle persone più deboli/ si occupa di cani abbandonati	X
duramente	ADV	4509049	Lui ha studiato duramente e ha superato l'esame.	Er hat fleißig studiert und die Prüfung bestanden.		1086137	Ha lavorato così duramente che alla fine si è ammalato.	Er hat so hart gearbeitet, dass er schließlich krank geworden ist.		3388923	Lavoro duramente in giardino la mattina.	Ich arbeite morgens hart im Garten.			X
assumere	VER	4922690	Al sole le foglie delle vigne assumono colori che vanno dal giallo a tutta la scala cromatica dei rossi, dal marrone all'arancione, fino ad arrivare al viola.	In der Sonne nehmen die Weinblätter Farben an, die von Gelb über sämtliche Abtönungen von Rot, Braun und Orange changieren, um schließlich Violett zu erreichen.			N/A	N/A			N/A	N/A		assumere vitamine assumere un’importanza particolare	
dinamico	ADJ	10372152	No, ma ho scoperto che il programma era dinamico.	Nein, aber das Angriffsprogramm war dynamisch.		9452830	È un uomo energico, dinamico, abituato a ottenere ciò che vuole.	Einfach so? Er ist sehr dynamisch, er überwindet jeden Widerstand.		10011956	Deve essere nitido, dinamico, aggressivo!	Das muss dynamisch, aggressiv sein!		carattere dinamico e aperto	X
ricerca	NOM	1857421	Sono alla ricerca della lingua perduta.	Ich bin auf der Suche nach der verlorenen gegangen Sprache.		373843	La nostra compagnia vuole prendere parte in questo progetto di ricerca.	Unser Unternehmen möchte gern an diesem Forschungsprojekt teilnehmen.		10443080	La ricerca scientifica è molto rischiosa a Volte.	Die medizinische Forschung kann gefährlich sein.			X
grotta	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
attesa	NOM	6980566	Ho un cliente che aspetta un sala d'attesa.	Ich habe einen Kunden, der im Wartezimmer wartet.		9169830	In attesa di ulteriori istruzioni, vi prego di accomodarvi nel mio ufficio.	Wir werden in meinem Büro auf weitere Befehle warten.		10318119	Un giorno intero di attesa senza ricevere risposta da Lutan.	Wir haben einen Tag gewartet. Keine Nachricht von Lutan.			X
inevitabile	ADJ	9990256	Si litigava, a volte! Ma questo è inevitabile, quando si gira un film.	Wir stritten darüber, aber so ist das beim Filmemachen.		9650736	Ogni giorno che passa si invecchia. È inevitabile.	Man wird mitjedem Tag älter, so viel ist sicher.		9154581	No, è inevitabile. È più forte di noi.	Nein, es ist unausweichlich.			X
abbandonato	ADJ	9928220	Poiché siamo in questo edificio abbandonato, posso parlare con questo custode stupido, che tiene pulito.	Da wir in diesem verlassenen Gebäude sind, spreche ich mit diesem blöden Typen, der es sauber hält.		9390771	Il corpo era stato portato qui, e abbandonato sotto il ponte	Sie brachten ihn her und ließen ihn an der Brücke zurück. Genau dort blieb er liegen.		9170305	Sento ancora miagolare quel gattino abbandonato.	Ich höre die Straßenkatze wegen dem Regen weinen.			X
comparire	VER	10464150	Continua a comparire e scomparire.	Er taucht auf und verschwindet wieder.			N/A	N/A			N/A	N/A			
rappresentare	VER	833616	Le linee rosse sulla mappa rappresentano ferrovie.	Die roten Linien auf der Karte stellen Eisenbahnlinien dar.		3350711	Ha rappresentato i suoi sentimenti in un quadro.	Er drückte seine Gefühle in einem Gemälde aus.		4420737	La casa rappresenta il tuo spazio vitale, averne cura significa avere cura di se stesso.	Die Wohnung ist dein Lebensraum; sie zu pflegen, heißt, sich selbst zu pflegen.			X
vantaggioso	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
parcheggiare	VER	3262861	Parcheggiate la macchina all'ombra.	Parkt das Auto im Schatten.		2268230	La macchina è parcheggiata di fronte a quel palazzo.	Der Wagen steht gegenüber dem Gebäude.		10140804	Qui devi svoltare a sinistra e parcheggiare.	OK. Hier links rein und dann anhalten.			X
scolastico	ADJ	2201230	Le uniformi scolastiche non sono più tanto alla moda.	Schuluniformen sind schlichtweg nicht mehr in Mode.		3414305	La mia borsa scolastica è molto pesante.	Mein Schulranzen ist sehr schwer.		409295	I pranzi scolastici sono disgustosi!	Schulessen ist widerlich!			X
talento	NOM	2127898	Tu disponi di un grande talento. Sei veramente un prodigio!	Du hast viel Talent. Du bist ein wahres Wunderkind!		9347532	Ha il talento di carpire alla gente che inizialmente non sa niente una quantità sorprendente di informazioni.	Er hat die Fähigkeit, Leuten, die anfangs absolut unwissend sind, eine überraschende Menge an Informationen zu entlocken.		9689284	Ti chiedo solo di aiutarmi a migliorare il mio talento musicale.	Ich will ja nur, dass du mir hilfst mein musikalisches Talent zu verbessern.			X
direzionare	VER		N/A	N/A			N/A	N/A			N/A	N/A			
sintomo	NOM	1265056	Il medico non attribuì alcuna importanza a quei sintomi.	Der Arzt maß diesen Symptomen keinerlei Bedeutung bei.		9728773	Il primo sintomo è il soffocamento, seguito da immediata perdita dei sensi.	Das erste Symptom scheint Ersticken zu sein, gefolgt von sofortiger Bewusstlosigkeit.		10217322	E il delirio è un sintomo di alterazione mentale.	Wahn aber ist ein Anzeichen für eine psychologische Störung.			X
sanità	NOM	399343	Insegnare alle persone a comprendere l'uso reale degli antibiotici è un problema di sanità pubblica.	Die Leute im richtigen Gebrauch von Antibiotika zu unterweisen ist ein Problem des Gesundheitswesens.			N/A	N/A			N/A	N/A			
terribilmente	ADV	2221839	Era terribilmente agitato.	Er war furchtbar aufgeregt.		10092093	Speravo in una notte di sonno, vado a dormire terribilmente trdi.	Ich hoffte, heute noch einmal durchschlafen zu können! Ich hab nämlich in letzter Zeit mit Schlafproblemen zu kämpfen.		9906972	Mi sento terribilmente in colpa per quello che è successo alla festa.	Es tut mir Leid, was alles auf der Party passiert ist.			X
base	NOM	1578295	“Perché gli psichiatri e gli psicologi sono tutti pazzi?“ “Al fine di costruire una base di fiducia con te.“	“Warum sind alle Psychiater und Psychologen verrückt?“ “Um eine Vertrauensbasis mit dir aufzubauen.“		2943707	Il tuo sistema di credenze è alla base delle tue decisioni.	Dein Glaubenssystem ist die Grundlage deiner Entscheidungen.		2456034	La base di questo manuale è un metodo comunicativo.	Diesem Lehrbuch liegt ein kommunikativer methodischer Ansatz zu Grunde.		a base di pasta / basi teoriche / alla base di qualcosa / condizione base	X
composizione	NOM	9007035	Suonerò la mia composizione di Victor Herbert.	Ich spiele meine eigene Komposition von Victor Heerman.			N/A	N/A			N/A	N/A		composizione musicale	
ampliamento	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
iscrivere	VER	508077	Presto mi iscriverò a un corso di tedesco.	Ich werde mich bald zu einem Deutschkurs anmelden.		9958294	Senza promozione, capisci ? Potremmo iscrivere la nostra band e vincere !	Wir könnten unsere Band reinbringen und gewinnen.			N/A	N/A			
obbligo	NOM	9317806	A lui non piace sentirsi in obbligo se non finanziariamente.	Er ist ungern zu Dank verpflichtet. Es sei denn, es geht um Geld.		10197394	Io non ho alcun obbligo legale di pagarla un penny di più.	Ich habe keine legale Verpflichtung, Ihnen einen Pfennig mehr zu zahlen.		9452239	Alcuni uomini non provano nessun obbligo morale.	Manchen Männern fehlt jeglicher Sinn für Moral.			X
lusso	NOM	3566763	È un lusso che noi non ci possiamo permettere.	Das ist ein Luxus, den wir uns nicht erlauben können.		9326768	Quindi ammette che chiese informazioni su crociere costose e di lusso?	Sie haben sich nach teuren, luxuriösen Seereisen erkundigt.		9254699	Loro hanno cibo di lusso, ma al prezzo che posso pagare.	Sie brauchen teuren Fisch? Ich kaufe welchen, wenn er bezahlbar ist.			X
rallegrare	VER	2784799	Io mi rallegro circa la mia vacanza della prossima settimana.	Ich freue mich auf meinen Urlaub nächste Woche.			N/A	N/A			N/A	N/A			
disegno	NOM	10370622	Forse è pura fantasia infantile, ma molti bambini hanno fatto lo stesso disegno.	Es gibt mehrere Zeichnungen dieser Art. Alle zum gleichen Thema.		9993182	Inizia a mostrare un vero talento per il disegno.	Seine Zeichnungen werden jetzt richtig gut.		3078245	Mi piace il colore del disegno!	Mir gefällt die Farbe der Zeichnung!			X
chissà	ADV	3671416	Chissà perché mi siete venuti in mente voi due.	Wer weiß, warum ihr zwei mir in den Sinn gekommen seid.		1765896	Chissà che mangeremo in futuro.	Wer weiß, was wir zukünftig einmal essen werden.		10139724	E già, chissà dove ho la testa oggi. Chissà.	Wo habe ich nur meine Gedanken gehabt?			X
saziare	VER	10141594	Qualcuno che potrà saziare la tua fame.	Jemanden, der deinen Hunger stillen kann.			N/A	N/A			N/A	N/A			
malessere	NOM	9312251	Sapevo che parte del mio malessere era dovuta alla fame, e mi ricordai del cibo sullo scaffale. La torta coperta dalla ragnatela.	Ich erkannte, dass der Hunger der Grund für mein Unwohlsein war und ich erinnerte mich an das Stück Kuchen auf dem Regal hinter dem Spinnennetz.		9625148	Un malessere generale, sempre un cerchio intorno alla testa.	Schlechte Nachrichten.		9438677	Il tempo incerto degli ultimi due giorni deve essere la causa del suo malessere.	Vielleicht hat ihm die Hitze dieser Tage geschadet.			X
cuoco	NOM	9450419	Era una cuoca provetta. Usava spezie raffinate e i veleni più rari.	Sie war eine exzellente Köchin, verwendete die besten Gewürze und die seltensten Gifte.		9535736	Devo parlare alla cuoca del dolce di stasera.	Ich muss mit der Köchin ein ernstes Wort reden.		9551310	Faceva la cuoca in un ristorante ungherese.	Sie war mal Köchin in einem ungarischen Restaurant. Oh.			X
fingere	VER	2706263	Mary non è veramente ammalata. Finge.	Maria ist eigentlich gar nicht krank. Sie tut nur so.		4954629	Perché fingi di non capire quello che dico?	Warum tust du so, als verstündest du nicht, was ich sage?		990630	Ora lavorava, ora fingeva di lavorare.	Mal arbeitete er, mal tat er so, als ob er arbeite.			X
dimostrare	VER	2430335	Ha dimostrato di avere una conoscenza profonda del tema.	Er hat seine profunde Kenntnis des Themas unter Beweis gestellt.		4551848	Lui non si è dimostrato troppo romantico.	Er hat nicht viel Sinn für Romantik bewiesen.		1859693	Tutti i partecipanti hanno dimostrato la loro capacità professionale.	Alle Teilnehmer haben ihr fachliches Können unter Beweis gestellt.			X
svuotare	VER	9930161	Le dispiace svuotare le tasche da ogni oggetto metallico?	Bitte nehmen Sie alles Metall aus Ihren Taschen.		9154452	Cominci a spolverare e svuotare i cassetti.	Putzen Sie die Schubladen und wischen Sie Staub.		9999666	John, puoi svuotare i secchi?	He, John, kippst du mal die Eimer aus?			X
bruciare	VER	1765084	Abbiamo aspettato che la casa bruciasse davvero prima di chiamare i vigili del fuoco.	Wir haben gewartet, bis das Haus wirklich gebrannt hat, und riefen erst dann die Feuerwehr.		3270928	La legna secca brucia bene.	Trockenes Holz brennt gut.		5901662	Il fuoco bruciava a lungo.	Das Feuer brannte lange.			X
sottolineatura	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
adorare	VER	375457	Mio padre adora la pizza.	Mein Vater liebt Pizza.		930997	Gli studenti adorano il nuovo insegnante di inglese.	Die Schüler lieben den neuen Englischlehrer.		1645575	Molti popoli hanno adorato le forze della natura, la più splendente delle quali è il sole.	Viele Völker beteten die Naturkräfte an, von denen die Sonne die strahlenste ist.			X
azienda	NOM	3456502	L'azienda ha filiali in 12 paesi europei.	Die Firma hat Niederlassungen in 12 europäischen Ländern.		2213818	Questa azienda ha speso moltissimi soldi in pubblicità.	Diese Firma hat sehr viel Geld für Werbung ausgegeben.		1838484	L’azienda olearia è posizionata nelle vicinanze del lago.	Die Ölmühle liegt in der Nachbarschaft des Sees.			X
termine	NOM	756461	Radioattività è un termine chimico.	Radioaktivität ist ein chemischer Begriff.		720451	Il termine “effetto serra“ è spesso usato al giorno d'oggi quando si parla dei cambiamenti climatici globali.	Ist von den gegenwärtigen weltweiten Klimaveränderungen die Rede, wird häufig der Terminus „Treibhauseffekt“ verwendet.		9831754	Padrino è un termine che era usato dai suoi amici in segno di affetto e di rispetto.	Ich möchte gerne bestätigen, was der Zeuge hier erklärt hat.		termine inteso come parola	X
confronto	NOM	1912817	In confronto alla tua macchina, la mia è piccola.	Verglichen mit deinem Auto, ist meins klein.		2195967	In confronto a suo padre, manca di profondità.	Im Vergleich mit seinem Vater fehlt es ihm an Tiefgang.		1108875	In confronto a suo fratello non è così saggio.	Mit seinem Bruder verglichen ist er nicht so klug.			X
destinatario	NOM	9938619	Vorrei fare una chiamata a carico del destinatario.	Bitte verbinden Sie mich mit folgender Nummer:			N/A	N/A			N/A	N/A			
associazione	NOM	9646621	Inviterò il signor Strauss a una serata della nostra associazione.	Wir laden ihn ein, zusammen mit ein paar Freunden von uns.		1020523	L'associazione conta trenta membri.	Der Verein zählt dreißig Mitglieder.		9875094	Ora mi parli di una misera associazione maschile Ed è piuttosto ovvio che ne fai già parte.	Nun fragst du mich wegen des Herrenklubs, und dabei bist du längst Mitglied.			X
struttura	NOM	2863868	Faccio fatica a capire la struttura delle frasi tedesche quando c'è l'inversione della frase e ci sono più verbi da inserire.	Sind mehrere Verben einzufügen, und tritt eine Inversion der Satzglieder auf, stoße ich, will ich die Struktur der deutschen Sätze verstehen, auf große Schwierigkeiten.		1853823	Dalla struttura delle frasi e dall'elenco delle parole si vede che sai molto bene il tedesco.	Aus der Struktur der Sätze und der Wahl der Wörter kann man ersehen, dass du die deutsche Sprache sehr gut beherrschst.		9767885	Conosci la struttura del governo?	Kennst du den Aufbau unserer Regierung?			X
confrontare	VER	1844156	È inutile fuggire, prima o poi dobbiamo confrontarci con la solitudine, dobbiamo imparare a stare bene con la persona con cui non possiamo fare a meno di rimanere soli: noi stessi.	Es ist zwecklos, zu fliehen, früher oder später müssen wir uns der Einsamkeit stellen, müssen wir lernen, uns mit dem Menschen gut zu stellen, den wir selbst dann nicht entbehren können, wenn wir allein sind: mit uns selbst.		2430893	Ho confrontato le due versioni cercando di capire come l'autore traduce nell'altra lingua certe espressioni e modi di dire.	Ich habe die beiden Versionen verglichen, um zu verstehen, wie der Autor gewisse Ausdrücke und Redewendungen in der anderen Sprache wiedergegeben hat.		1853138	Spesso la gente inizia a confrontarsi con chi ha già successo, il che ha un effetto in larga misura demotivante.	Oft beginnen Menschen, sich mit denen zu vergleichen, die bereits erfolgreich sind, was in einem hohen Maße demotivierend wirkt.			X
resistenza	NOM	9487889	Scopo della guerra è infliggere il massimo danno al nemico, distruggere la sua capacità di resistenza.	Der Sinn des Krieges ist, dem Feind größtmöglichen Schaden zuzufügen, seinen Widerstand zu brechen.		9282774	Ogni resistenza è inutile. Anche voi dovete arrendervi subito.	Sie sollen aufhören, sinnlos Widerstand zu leisten.		9866589	Non opponete resistenza e arrendetevi.	Tun Sie sich einen Gefallen!			X
scritto	ADJ	380539	Ieri ho ricevuto una lettera scritta in inglese.	Gestern habe ich einen auf Englisch geschriebenen Brief bekommen.		4542501	Chi non legge ignora il piacere che può dare la parola scritta, il piacere di abbandonarsi all'immaginazione, alla bellezza dell'invenzione letteraria.	Wer nicht liest, kennt nicht das Vergnügen, welches das geschriebene Wort bereiten kann, das Vergnügen, sich der Phantasie hinzugeben und der Schönheit der literarischen Erfindung.		4999310	Ci sono errori di grammatica nella prova scritta?	Gibt es in der schriftlichen Prüfung grammatische Fehler?		esame scritto	X
registrare	VER	9055817	Se desiderate pernottare nel mio albergo vi dovete registrare immediatamente.	Wer hier übernachten will, muss sich sofort eintragen.			N/A	N/A			N/A	N/A		ti devi registrare al sito	
grandezza	NOM	10228570	È della grandezza di un sigaro. Non sono stato chiaro?	Etwa die Größe einer Zigarre.		9029753	A grandezza naturale sarebbe un problema.	Lebensgröße habe ich nie gemeistert.		10427227	È certamente in preda a un attacco di mania di grandezza.	jedenfalls ist er dem Größenwahn verfallen.			X
notare	VER	1853832	Ho notato solo pochissimi errori.	Ich habe nur sehr wenige Fehler bemerkt.		5005247	Lei ha notato il suo vestito nuovo?	Haben Sie ihr neues Kleid bemerkt?		894220	È interessante che nessuno abbia notato quell'errore.	Es ist interessant, dass niemand den Fehler bemerkt hat.			X
trovare	VER	9467835	Dove si trova la follia in tutto ciò?	Wo sitzt da der Wahnsinn?			N/A	N/A			N/A	N/A			
stomaco	NOM	1915002	Ad ogni modo, non posso mangiare tanto quanto vorrei, perché il mio stomaco si è rimpicciolito e devo ricominciare poco a poco.	Auf jeden Fall kann ich nicht essen, so viel ich möchte, denn mein Magen ist geschrumpft und ich muss nach und nach wieder anfangen.		691418	Sento le farfalle nello stomaco.	Ich habe Schmetterlinge im Bauch.		2993496	Ho riso così tanto che mi fa male lo stomaco.	Mir tut vor lauter Lachen der Bauch weh!			X
cinta	NOM	9637637	Come si fa a fidarsi di uno che porta insieme cinta e bretelle?	Wie kann ich einem vertrauen, der einen Gürtel und Hosenträger anhat?			N/A	N/A			N/A	N/A			
super			N/A	N/A			N/A	N/A			N/A	N/A			
nazionale	ADJ	1635133	Oggi in Islanda è festa nazionale.	Heute ist der isländische Nationalfeiertag.		2335211	Cipro lotta contro la minaccia di bancarotta nazionale.	Zypern kämpft gegen den drohenden Staatsbankrott.		2283512	Il Congresso Nazionale del Popolo è il più alto organo del potere statale in Cina.	Der Nationale Volkskongress ist das oberste Organ der Staatsmacht in China.			X
nemico	NOM	9697619	Ora dobbiamo anticipare la prossima mossa del nemico.	Wir müssen den nächsten Schritt des Gegners vorausberechnen.		862245	Il nemico attaccò la città.	Der Feind griff die Stadt an.		1101811	Non lasciare che il nemico si avvicini.	Lasst den Feind nicht näherkommen.			X
confortevole	ADJ	10103353	Temo che non siamo riusciti a dotarla di tutte le comodità, ma speriamo sia un ambiente confortevole.	Wir konnten leider nicht alle Annehmlichkeiten unterbringen aber wir hoffen, Sie werden sich wohl fühlen.		9340253	Dopo che Cinzia avrà pulito e messo a posto, dovrebbe essere confortevole.	Wenn Cinzia etwas geputzt und gewienert hat, ist es vielleicht ganz gemütlich.		10241041	Il divano è duro, non è molto confortevole.	Auf dem Sofa ist es so unbequem.			X
avvenire	VER	612176	L'incidente è avvenuto venerdì.	Der Unfall ist am Freitag passiert.		1063154	Il sacco di Roma avvenne nel 1527.	Die Plünderung Roms fand 1527 statt.		3745052	Questa conversazione non è mai avvenuta.	Dieses Gespräch hat nie stattgefunden.			X
inglese			N/A	N/A			N/A	N/A			N/A	N/A			
radicalmente	ADV	1718953	Secondo voi è possibile farsi da zero un nuovo gruppo di amici e cambiare radicalmente vita?	Meinen Sie, dass man aus dem Nichts eine neue Gruppe Freunde finden und sein Leben radikal ändern kann?		9934225	So che ero stato duro con lui, ma era stata solo una bravata di un giovane esuberante, perché adesso è cambiato radicalmente.	Ich habe nicht nur Gutes über ihn gesagt aber das war wohl jugendlicher Überschwang! Denn er hat sich definitiv enorm verändert.		9859319	* E non mi preoccuperei di andare laggiù a meno che il tuo gusto non sia cambiato radicalmente *	Ich würde da gar nicht erst reingehen, wenn dein Geschmack sich nicht völlig verändert hat.			X
illustre	ADJ	1211170	Molti illustri filosofi e poeti vengono da Atene.	Viele berühmte Philosophen und Dichter stammen aus Athen.		9568606	E il nostro illustre Presidente, Gustavo Fortuna.	Und unser ehrenwerter Präsident, Gustavo Fortuna.		9697818	Se ho criticato troppo il mio illustre collega inglese dimentichiamocene.	Tut mir Leid, wenn ich dem britischen Kollegen zu nahe getreten bin.			X
accadere	VER	1516789	Non posso raccontarti tutto quel che mi è accaduto ieri.	Ich kann dir gar nicht erzählen, was mir gestern alles passiert ist.		694025	Nessuno sa cosa accadrà nel futuro.	Keiner weiß, was in der Zukunft passieren wird.		3297775	Non gli era mai accaduto prima.	Das war ihm nie zuvor geschehen.			X
fattore	NOM	1865863	Una buona disposizione ad affrontare la crisi è un fattore chiave di successo.	Die Bereitschaft, sich Krisen zu stellen, ist ein entscheidender Erfolgsfaktor.		1853101	Quando la gente inizia a confrontarsi con chi ha già raggiunto un successo, questo diventa per loro un forte fattore demotivante	Wenn Menschen beginnen, sich mit denen zu vergleichen, die bereits einen Erfolg erreicht haben, wird das für sie zu einem starken Demotivationsfaktor.		10431656	I numeri non contano. Il computer non può sostituire il fattore umano.	Der Computer kann allerdings nicht den menschlichen Faktor kompensieren.			X
balletto	NOM	9281747	Vediamo. Questa settimana ci sarà un balletto di Cajkovskij al Teatro Reale.	Demnächst gibt es im Königlichen Theater ein Ballett von Tschaikowsky.		9212151	Vengo a vedere le prove del nuovo balletto.	Ich soll mir das Ballett hier ansehen.		9209596	Ha visto durante il balletto quando faccio una jeté?	Sie haben gesehen, wenn ich einen jeté mache?			X
dolore	NOM	935782	Questa medicina porterà via il dolore.	Dieses Medikament wird den Schmerz verschwinden lassen.		422481	Il dolore era quasi insopportabile.	Der Schmerz war fast unerträglich.		1343958	Il dolore di stomaco è comunemente confuso con dolore alla pancia.	Magenschmerzen werden gewöhnlich mit Bauchschmerzen verwechselt.			X
maggiormente	ADV	2201288	Rimpiange di non essersi applicato maggiormente a scuola.	Er bereut es, sich in der Schule nicht noch mehr angestrengt zu haben.			N/A	N/A			N/A	N/A			
stupire	VER	2277251	Le soluzioni geniali stupiscono di regola per la loro semplicità.	Geniale Lösungen sind oft von verblüffender Einfachheit.		3174310	Devi stupirla e lasciarla a bocca aperta!	Du musst sie erstaunen und mit offenem Mund zurücklassen!		630482	La sua decisione di trasferirsi a Chicago ci ha stupito.	Ihr Entschluss, nach Chicago zu ziehen, überraschte uns.			X
comodamente	ADV	9677253	Potete rilassarvi comodamente in un ambiente amichev ole.	Machen Sie es sich gemütlich.		9218873	Maligno, ma simpatico. Vogliamo sederci e bere comodamente?	Er ist ein bisschen frech, aber ein netter Kerl.		10047807	Qui possiamo ospitare comodamente fino a 300 persone.	Wir können hier leicht 300 Leuten Platz bieten.			X
invitato	NOM		N/A	N/A			N/A	N/A			N/A	N/A			
preoccupare	VER	860617	“Il nostro treno parte alle 9.“ “Non ti preoccupare. Ce la faremo.“	„Unser Zug fährt um 9 Uhr ab.“ „Mach dir keine Gedanken! Wir schaffen das.“		2193564	Alcune donne sono preoccupate solo della loro buona reputazione, le altre invece sono felici.	Viele Frauen sind nur auf ihren guten Ruf bedacht, aber die anderen werden glücklich.		2784835	Ella si preoccupa sempre molto per i suoi ospiti.	Sie kümmert sich immer sehr um ihre Gäste.			X
comunicativo	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
vivace	ADJ	10074825	Suo padre prima era stato un tipo molto vivace, poi si era calmato.	Um seinen Vater war einst laut, dann wurde er still.		9313755	Giovane e vivace, vive come vivono i giovani.	Jung und lebendig, im Genuss ihrer Jugend.		9864370	Ma da quando è arrivata la casa è molto più vivace.	Aber das Haus ist viel lebendiger, seit sie hier ist.			X
cauto	ADJ	10398936	Non sarebbe una cattiva idea se cominciassi a essere piu cauto.	Es ist vielleicht an der Zeit, ein bisschen vorsichtiger zu werden.			N/A	N/A			N/A	N/A			
giuria	NOM	9740700	Sul palco si esibiranno tre finalisti e la giuria di stasera è composta da:	Es gibt drei Finalisten, und die heutige Jury besteht aus:		9751820	Membri della giuria, abbiamo degli ospiti davvero interessanti questa sera.	Liebes Rateteam, wir haben heute sehr interessante Gäste bei uns. Fangen wir gleich mit ihnen an.		10238721	Signore e signori della giuria, siete giunti ad un verdetto?	Meine Damen und Herren Geschworenen, sind Sie zu einem Spruch gekommen?			X
panorama	NOM	403026	Paco disegna panorami di città.	Paco zeichnet Städtelandschaften.		9433182	Dalla baia godrete del magnifico panorama della città di San Francisco.	Von der Bucht aus genießen Sie die atemberaubende Skyline San Franciscos.		10121584	Dai, andiamo a fare qualche foto al panorama.	Komm, wir machen draußen Fotos.			X
fantasioso	ADJ		N/A	N/A			N/A	N/A			N/A	N/A			
fede	NOM	1664836	La fede riesce a spostare le montagne.	Der Glaube kann Berge versetzen.		4700837	Lei ha ripristinato la mia fede nell'umanità.	Sie hat meinen Glauben in die Menschheit wiederhergestellt.		9534444	Cerco di mantenere la fede anche nel dubbio, suor Berthe.	Ich versuche im Allgemeinen meinen Zweifeln treu zu bleiben.			X
